The original input was: 5 (0 3 200 3) (0 9 500 2) (0 20 500 1) (100 1 100 3) (100 100 500 1) 
The (sorted) input is:  5 (0 3 200 3) (0 9 500 2) (0 20 500 1) (100 1 100 3) (100 100 500 1) 

This detailed printout gives the state and remaining burst for each process

Before cycle    0:   unstarted  0  unstarted  0  unstarted  0  unstarted  0  unstarted  0.
Before cycle    1:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle    2:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle    3:     blocked  6    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle    4:     blocked  5    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle    5:     blocked  4      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle    6:     blocked  3      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle    7:     blocked  2    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle    8:     blocked  1    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle    9:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   10:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   11:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   12:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle   13:     blocked  6    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   14:     blocked  5    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   15:     blocked  4      ready  0    running  2  unstarted  0  unstarted  0.
Before cycle   16:     blocked  3      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   17:     blocked  2    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   18:     blocked  1    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   19:       ready  0    blocked 16    running  2  unstarted  0  unstarted  0.
Before cycle   20:       ready  0    blocked 15    running  1  unstarted  0  unstarted  0.
Before cycle   21:     running  2    blocked 14      ready  0  unstarted  0  unstarted  0.
Before cycle   22:     running  1    blocked 13      ready  0  unstarted  0  unstarted  0.
Before cycle   23:       ready  0    blocked 12    running  2  unstarted  0  unstarted  0.
Before cycle   24:       ready  0    blocked 11    running  1  unstarted  0  unstarted  0.
Before cycle   25:     running  1    blocked 10      ready  0  unstarted  0  unstarted  0.
Before cycle   26:     blocked  9    blocked  9    running  2  unstarted  0  unstarted  0.
Before cycle   27:     blocked  8    blocked  8    running  1  unstarted  0  unstarted  0.
Before cycle   28:     blocked  7    blocked  7    running  2  unstarted  0  unstarted  0.
Before cycle   29:     blocked  6    blocked  6    running  1  unstarted  0  unstarted  0.
Before cycle   30:     blocked  5    blocked  5    running  2  unstarted  0  unstarted  0.
Before cycle   31:     blocked  4    blocked  4    running  1  unstarted  0  unstarted  0.
Before cycle   32:     blocked  3    blocked  3    running  2  unstarted  0  unstarted  0.
Before cycle   33:     blocked  2    blocked  2    running  1  unstarted  0  unstarted  0.
Before cycle   34:     blocked  1    blocked  1    blocked 18  unstarted  0  unstarted  0.
Before cycle   35:     running  2      ready  0    blocked 17  unstarted  0  unstarted  0.
Before cycle   36:     running  1      ready  0    blocked 16  unstarted  0  unstarted  0.
Before cycle   37:     blocked  6    running  2    blocked 15  unstarted  0  unstarted  0.
Before cycle   38:     blocked  5    running  1    blocked 14  unstarted  0  unstarted  0.
Before cycle   39:     blocked  4    blocked  4    blocked 13  unstarted  0  unstarted  0.
Before cycle   40:     blocked  3    blocked  3    blocked 12  unstarted  0  unstarted  0.
Before cycle   41:     blocked  2    blocked  2    blocked 11  unstarted  0  unstarted  0.
Before cycle   42:     blocked  1    blocked  1    blocked 10  unstarted  0  unstarted  0.
Before cycle   43:     running  1      ready  0    blocked  9  unstarted  0  unstarted  0.
Before cycle   44:     blocked  3    running  2    blocked  8  unstarted  0  unstarted  0.
Before cycle   45:     blocked  2    running  1    blocked  7  unstarted  0  unstarted  0.
Before cycle   46:     blocked  1    running  2    blocked  6  unstarted  0  unstarted  0.
Before cycle   47:       ready  0    running  1    blocked  5  unstarted  0  unstarted  0.
Before cycle   48:     running  2      ready  0    blocked  4  unstarted  0  unstarted  0.
Before cycle   49:     running  1      ready  0    blocked  3  unstarted  0  unstarted  0.
Before cycle   50:     blocked  6    running  2    blocked  2  unstarted  0  unstarted  0.
Before cycle   51:     blocked  5    running  1    blocked  1  unstarted  0  unstarted  0.
Before cycle   52:     blocked  4    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   53:     blocked  3    blocked 14    running  2  unstarted  0  unstarted  0.
Before cycle   54:     blocked  2    blocked 13    running  1  unstarted  0  unstarted  0.
