The original input was: 5 (0 3 200 3) (0 9 500 2) (0 20 500 1) (100 1 100 3) (100 100 500 1) 
The (sorted) input is:  5 (0 3 200 3) (0 9 500 2) (0 20 500 1) (100 1 100 3) (100 100 500 1) 

This detailed printout gives the state and remaining burst for each process

Before cycle    0:   unstarted  0  unstarted  0  unstarted  0  unstarted  0  unstarted  0.
Before cycle    1:     running  2      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle    2:     running  1      ready  0      ready  0  unstarted  0  unstarted  0.
Before cycle    3:     blocked  6    running  8      ready  0  unstarted  0  unstarted  0.
Before cycle    4:     blocked  5    running  7      ready  0  unstarted  0  unstarted  0.
Before cycle    5:     blocked  4    running  6      ready  0  unstarted  0  unstarted  0.
Before cycle    6:     blocked  3    running  5      ready  0  unstarted  0  unstarted  0.
Before cycle    7:     blocked  2    running  4      ready  0  unstarted  0  unstarted  0.
Before cycle    8:     blocked  1    running  3      ready  0  unstarted  0  unstarted  0.
Before cycle    9:       ready  0    running  2      ready  0  unstarted  0  unstarted  0.
Before cycle   10:       ready  0    running  1      ready  0  unstarted  0  unstarted  0.
Before cycle   11:     running  1    blocked 16      ready  0  unstarted  0  unstarted  0.
Before cycle   12:     blocked  3    blocked 15    running 16  unstarted  0  unstarted  0.
Before cycle   13:     blocked  2    blocked 14    running 15  unstarted  0  unstarted  0.
Before cycle   14:     blocked  1    blocked 13    running 14  unstarted  0  unstarted  0.
Before cycle   15:       ready  0    blocked 12    running 13  unstarted  0  unstarted  0.
Before cycle   16:       ready  0    blocked 11    running 12  unstarted  0  unstarted  0.
Before cycle   17:       ready  0    blocked 10    running 11  unstarted  0  unstarted  0.
Before cycle   18:       ready  0    blocked  9    running 10  unstarted  0  unstarted  0.
Before cycle   19:       ready  0    blocked  8    running  9  unstarted  0  unstarted  0.
Before cycle   20:       ready  0    blocked  7    running  8  unstarted  0  unstarted  0.
Before cycle   21:       ready  0    blocked  6    running  7  unstarted  0  unstarted  0.
Before cycle   22:       ready  0    blocked  5    running  6  unstarted  0  unstarted  0.
Before cycle   23:       ready  0    blocked  4    running  5  unstarted  0  unstarted  0.
Before cycle   24:       ready  0    blocked  3    running  4  unstarted  0  unstarted  0.
Before cycle   25:       ready  0    blocked  2    running  3  unstarted  0  unstarted  0.
Before cycle   26:       ready  0    blocked  1    running  2  unstarted  0  unstarted  0.
Before cycle   27:       ready  0      ready  0    running  1  unstarted  0  unstarted  0.
Before cycle   28:     running  3      ready  0    blocked 16  unstarted  0  unstarted  0.
Before cycle   29:     running  2      ready  0    blocked 15  unstarted  0  unstarted  0.
Before cycle   30:     running  1      ready  0    blocked 14  unstarted  0  unstarted  0.
Before cycle   31:     blocked  9    running  8    blocked 13  unstarted  0  unstarted  0.
Before cycle   32:     blocked  8    running  7    blocked 12  unstarted  0  unstarted  0.
Before cycle   33:     blocked  7    running  6    blocked 11  unstarted  0  unstarted  0.
Before cycle   34:     blocked  6    running  5    blocked 10  unstarted  0  unstarted  0.
Before cycle   35:     blocked  5    running  4    blocked  9  unstarted  0  unstarted  0.
Before cycle   36:     blocked  4    running  3    blocked  8  unstarted  0  unstarted  0.
Before cycle   37:     blocked  3    running  2    blocked  7  unstarted  0  unstarted  0.
Before cycle   38:     blocked  2    running  1    blocked  6  unstarted  0  unstarted  0.
Before cycle   39:     blocked  1    blocked 16    blocked  5  unstarted  0  unstarted  0.
Before cycle   40:     running  2    blocked 15    blocked  4  unstarted  0  unstarted  0.
Before cycle   41:     running  1    blocked 14    blocked  3  unstarted  0  unstarted  0.
Before cycle   42:     blocked  6    blocked 13    blocked  2  unstarted  0  unstarted  0.
Before cycle   43:     blocked  5    blocked 12    blocked  1  unstarted  0  unstarted  0.
Before cycle   44:     blocked  4    blocked 11    running 13  unstarted  0  unstarted  0.
Before cycle   45:     blocked  3    blocked 10    running 12  unstarted  0  unstarted  0.
Before cycle   46:     blocked  2    blocked  9    running 11  unstarted  0  unstarted  0.
Before cycle   47:     blocked  1    blocked  8    running 10  unstarted  0  unstarted  0.
Before cycle   48:       ready  0    blocked  7    running  9  unstarted  0  unstarted  0.
Before cycle   49:       ready  0    blocked  6    running  8  unstarted  0  unstarted  0.
Before cycle   50:       ready  0    blocked  5    running  7  unstarted  0  unstarted  0.
Before cycle   51:       ready  0    blocked  4    running  6  unstarted  0  unstarted  0.
Before cycle   52:       ready  0    blocked  3    running  5  unstarted  0  unstarted  0.
Before cycle   53:       ready  0    blocked  2    running  4  unstarted  0  unstarted  0.
Before cycle   54:       ready  0    blocked  1    running  3  unstarted  0  unstarted  0.
Before cycle   55:       ready  0      ready  0    running  2  unstarted  0  unstarted  0.
